country,2002,2003,2004,2005
Albania,40.5,,,40.5
Andorra,36.5,,,36.5
UAE,26.1,,,26.1
Argentina,34.6,,,34.6
Armenia,55.1,,,55.1
Australia,27.7,,,27.7
Austria,46.4,,,46.4
Belgium,30.1,,,30.1
Burkina Faso,22,,,22
Bangladesh,47,,,47
Bulgaria,47.5,,,47.5
Bahrain,26.1,,,26.1
Bosnia and Herzegovina,49.3,,,49.3
Belarus,63.7,,,63.7
Bolivia,34.1,,,34.1
Barbados,18.4,,,18.4
Canada,24.3,,,24.3
Switzerland,30.7,,,30.7
Chile,42.1,,,42.1
China,59.5,,,59.5
Cote d'Ivoire,15.4,,,15.4
Cameroon,12.6,,,12.6
"Congo, Dem. Rep.",13.5,,,13.5
"Congo, Rep.",12.1,,,12.1
Cook Is,36.1,,,36.1
Comoros,27.7,,,27.7
Costa Rica,26.1,,,26.1
Cuba,43.4,,,43.4
Czech Republic,36.6,,,36.6
Germany,37.4,,,37.4
Denmark,36.1,,,36.1
Dominican Republic,17.5,,,17.5
Algeria,29.9,,,29.9
Ecuador,23.9,,,23.9
Egypt,28.7,,,28.7
Eritrea,16.9,,,16.9
Spain,36.4,,,36.4
Estonia,49.9,,,49.9
Ethiopia,7.6,,,7.6
Finland,31.8,,,31.8
Fiji,23.6,,,23.6
France,36.6,,,36.6
UK,36.7,,,36.7
Georgia,57.1,,,57.1
Ghana,10.2,,,10.2
Gambia,29.3,,,29.3
Greece,63.6,,,63.6
Guatemala,24.5,,,24.5
Croatia,38.9,,,38.9
Hungary,45.7,,,45.7
Indonesia,65.9,,,65.9
India,33.1,,,33.1
Ireland,26.5,,,26.5
Iran,29.6,,,29.6
Iraq,25.8,,,25.8
Iceland,26.1,,,26.1
Israel,31.1,,,31.1
Italy,32.8,,,32.8
Jamaica,20.8,,,20.8
Jordan,62.7,,,62.7
Japan,44.3,,,44.3
Kazakhstan,43.2,,,43.2
Kenya,27.1,,,27.1
Kyrgyz Republic,46.9,,,46.9
Cambodia,40.5,,,40.5
South Korea,53.3,,,53.3
Lao,65,,,65
Lebanon,29.1,,,29.1
St. Lucia,28.9,,,28.9
Sri Lanka,30.2,,,30.2
Lithuania,45.1,,,45.1
Luxembourg,39.1,,,39.1
Latvia,54.4,,,54.4
Morocco,29.5,,,29.5
Moldova,45.8,,,45.8
Maldives,44.5,,,44.5
Mexico,36.9,,,36.9
Mali,19.5,,,19.5
Malta,32.8,,,32.8
Myanmar,46.5,,,46.5
Mongolia,45.8,,,45.8
Mozambique,22,,,22
Mauritania,22.3,,,22.3
Mauritius,35.7,,,35.7
Malawi,23.7,,,23.7
Malaysia,54.4,,,54.4
Namibia,38.6,,,38.6
Nigeria,13,,,13
Netherlands,38.3,,,38.3
Norway,33.6,,,33.6
Nepal,34.8,,,34.8
Nauru,46.1,,,46.1
New Zealand,29.7,,,29.7
Oman,24.7,,,24.7
Pakistan,35.4,,,35.4
Philippines,42,,,42
Palau,38.1,,,38.1
Poland,43.9,,,43.9
North Korea,58.6,,,58.6
Portugal,40.6,,,40.6
Paraguay,33,,,33
Romania,40.6,,,40.6
Russia,70.1,,,70.1
Saudi Arabia,25.6,,,25.6
Senegal,19.8,,,19.8
Serbia,42.3,,,42.3
Sao Tome and Principe,23.2,,,23.2
Slovak Republic,41.6,,,41.6
Slovenia,31.8,,,31.8
Sweden,19.6,,,19.6
Eswatini,14.6,,,14.6
Seychelles,35.2,,,35.2
Syria,44,,,44
Chad,16,,,16
Thailand,39.8,,,39.8
Tonga,61.8,,,61.8
Trinidad and Tobago,36.4,,,36.4
Tunisia,51,,,51
Turkey,51.6,,,51.6
Tanzania,24.8,,,24.8
Uganda,20.9,,,20.9
Uruguay,37.1,,,37.1
USA,26.3,,,26.3
Uzbekistan,24.2,,,24.2
Venezuela,32.5,,,32.5
Vietnam,45.7,,,45.7
Vanuatu,49.1,,,49.1
Samoa,58.3,,,58.3
South Africa,27.5,,,27.5
Zambia,21.7,,,21.7
Zimbabwe,25.5,,,25.5
